sub_code,sub_label_en,sub_label_fa,Column 1
PARAL,Paralytic ileus and intestinal obstruction,ایلئوس پارالیتیک و انسداد روده,
PANCR,Pancreatitis,پانکراتیت,
ENCEP,Encephalitis,آنسفالیت,
SICKL,Sickle cell disorders and trait,اختلالات و صفت سلول داسی‌شکل,
SYPHI,Syphilis,سیفلیس,
ALCOH,Alcohol use disorders,اختلالات مصرف الکل,
PROTES,Protein-energy malnutrition,سوءتغذیه پروتئین-انرژی,
TESTI,Testicular cancer,سرطان بیضه,
APPEN,Appendicitis,آپاندیسیت,
SUDDE,Sudden infant death syndrome,سندرم مرگ ناگهانی نوزادان,
UROLI,Urolithiasis,سنگ‌های ادراری,
TETAN,Tetanus,کزاز,
INFLA,Inflammatory bowel disease,بیماری التهابی روده,
GASTR,Gastritis and duodenitis,گاستریت و دئودنیت,
MESOT,Mesothelioma,مزوتلیوما,
RHEUMA,Rheumatoid arthritis,آرتریت روماتوئید,
THALA,Thalassaemias,تالاسمی‌ها,
WHOOP,Whooping cough,سیاه‌سرفه,
ACUTEA,Acute hepatitis A,هپاتیت حاد A,
GYNEC,Gynecological diseases,بیماری‌های زنان,
NATUR,Natural disasters,بلایای طبیعی,
ECHIN,Echinococcosis,اکینوکوکوزیس,
LEISH,Leishmaniasis,لیشمانیوز,
MEASL,Measles,سرخک,
ACUTEE,Acute hepatitis E,هپاتیت حاد E,
ACUTEC,Acute hepatitis C,هپاتیت حاد C,
AFRIC,African trypanosomiasis,تریپانوزومیازیس آفریقایی,
ANXIE,Anxiety disorders,اختلالات اضطرابی,
ASCAR,Ascariasis,آسکاریازیس,
AUTIS,Autism and Asperger syndrome,اوتیسم و سندرم آسپرگر,
BACK ,Back and neck pain,درد کمر و گردن,
BENIG,Benign prostatic hyperplasia,هیپرپلازی خوش‌خیم پروستات,
BIPOL,Bipolar disorder,اختلال دوقطبی,
CATAR,Cataracts,آب مروارید,
CHAGA,Chagas disease,بیماری شاگاس,
CHILD,Childhood behavioural disorders,اختلالات رفتاری دوران کودکی,
CHLAM,Chlamydia,کلامیدیا,
CYSTI,Cysticercosis,سیستی‌سرکوزیس,
DENGU,Dengue,تب دنگی,
DEPRE,Depressive disorders,اختلالات افسردگی,
DIPHT,Diphtheria,دیفتری,
EATIN,Eating disorders,اختلالات خوردن,
FOOD-,Food-borne trematodes,ترماتودهای منتقله از غذا,
GENIT,Genital herpes,تبخال تناسلی,
GLAUC,Glaucoma,گلوکوم (آب سیاه),
GONOR,Gonorrhoea,سوزاک,
GOUT,Gout,نقرس,
HOOKW,Hookworm disease,بیماری کرم قلابدار,
IDIOP,Idiopathic intellectual disability,ناتوانی ذهنی ایدیوپاتیک,
INFER,Infertility,ناباروری,
IODIN,Iodine deficiency,کمبود ید,
IRON,Iron-deficiency anaemia,کم‌خونی فقر آهن,
LEPRO,Leprosy,جذام,
LYMPF,Lymphatic filariasis,فیلاریازیس لنفاوی,
MACUL,Macular degeneration,دژنراسیون ماکولا,
MALAR,Malaria,مالاریا,
MIGRA,Migraine,میگرن,
NON-M,Non-migraine headache,سردردهای غیرمیگرنی,
ONCHO,Onchocerciasis,انکوسرکیازیس,
ORAL ,Oral conditions,بیماری‌های دهان و دندان,
OSTEO,Osteoarthritis,آرتروز,
VISL,Other vision loss,سایر اختلالات بینایی,
OTHER,Other hearing loss,سایر اختلالات شنوایی,
HEAR,Otitis media,اوتیت میانی,
RABIE,Rabies,هاری,
SCHIS,Schistosomiasis,شیستوزومیازیس,
SCHIZ,Schizophrenia,اسکیزوفرنی,
TRACH,Trachoma,تراخم,
TRICH,Trichomoniasis,تریکومونیازیس,
TRICHU,Trichuriasis,تریکوریازیس,
UNCOR,Uncorrected refractive errors,عیوب انکساری اصلاح‌نشده,
UPPER,Upper respiratory infections,عفونت‌های دستگاه تنفسی فوقانی,
VITAM,Vitamin A deficiency,کمبود ویتامین A,
YELLO,Yellow fever,تب زرد,
EDU_MED,Medical Sciences,پزشکی,
EDU_HUM,Humanities,علوم انسانی,
EDU_BAS,Basic Sciences,علوم پایه,
EDU_ENG,Engineering and Technology,فنی و مهندسی,
EDU_AGR,Agriculture and Veterinary Sciences,کشاورزی و دامپزشکی,
EDU_ART,Art,هنر,
EDU_ASS,Associate Degree,کاردانی (فوق دیپلم),
EDU_BAC,Bachelor's Degree,کارشناسی (لیسانس),
EDU_MAS,Master's Degree,کارشناسی ارشد (فوق لیسانس),
EDU_PRO,Professional Doctorate,دکترای حرفه‌ای,
EDU_PHD,PhD / Doctorate,دکترای تخصصی,
EDU_FAC_PRO,Professor,استاد,
EDU_FAC_ASO,Associate Professor,دانشیار,
EDU_FAC_ASI,Assistant Professor,استادیار,
EDU_FAC_INS,Instructor,مربی,
EDU_FAC_ASIN,Assistant Instructor,مربی آموزشیار,
EDU_FAC_NON,Non-faculty instructors,آموزشگران دانشگاهی غیر هیات علمی,
